track,cos_AB,ovl_AB,cos_AC,ovl_AC,cos_AD,ovl_AD,cos_BC,ovl_BC,cos_BD,ovl_BD,cos_CD,ovl_CD
"A German Spectacle/The What CD/08 We Heard The Tree Fall.mp3",0.0227,0.40,0.0102,0.20,0.9837,0.80,0.9560,0.60,0.0111,0.40,0.0012,0.20
"A Guy Called Gerald/24 Hour Party People O.S.T_/09 Voodoo Ray.mp3",-0.0543,0.00,-0.0621,0.10,0.9875,0.60,0.9822,0.50,-0.0628,0.20,-0.0705,0.20
"ABBA/Gold/01 Dancing Queen.mp3",0.0128,0.20,0.0220,0.30,0.9895,0.40,0.9775,0.50,0.0105,0.20,0.0187,0.30
"ATB/Two Worlds/05 ATB - Feel You Like a River.mp3",-0.0477,0.30,-0.0399,0.40,0.9909,0.60,0.9757,0.60,-0.0420,0.40,-0.0351,0.40
"Absolom/Clubber's Guide to Ninety Nine/14 - Baby Boomers.mp3",-0.0600,0.60,-0.0588,0.70,0.9628,0.60,0.9567,0.70,-0.0555,0.40,-0.0479,0.60
"Adam Ant/80's Wave/08 Goody Two Shoes.mp3",-0.0091,0.60,-0.0046,0.80,0.9934,0.60,0.9754,0.80,-0.0068,0.40,-0.0039,0.50
"Adorable/B side/03 Sunburnt.mp3",-0.0471,0.60,-0.0424,0.70,0.9708,0.70,0.9499,0.70,-0.0446,0.50,-0.0397,0.40
"Afterlife/Caf\u00e9 del Mar_ Dreams Vol. 2/07 - Blue Bar.mp3",0.0389,0.20,0.0348,0.40,0.9658,0.30,0.9551,0.30,0.0237,0.30,0.0192,0.20
"Air/Music for Museum/07 Integration Desintegration.mp3",-0.0500,0.20,-0.0376,0.40,0.9459,0.50,0.9151,0.50,-0.0670,0.30,-0.0523,0.30
"Air/Premier Symptomes/01 Modulor Mix.mp3",0.0209,0.20,0.0160,0.30,0.9652,0.40,0.9568,0.60,0.0290,0.40,0.0252,0.20
"Air/Seven Stars - Single/01 Seven Stars.mp3",-0.0127,0.20,-0.0369,0.10,0.9634,0.50,0.9303,0.50,-0.0182,0.30,-0.0461,0.10
"Air/Sexy Boy [US]/01 Sexy Boy [Radio Edit].mp3",-0.0495,0.30,-0.0342,0.30,0.9731,0.20,0.9715,0.60,-0.0620,0.40,-0.0490,0.10
"Air/Virgin Suicides/09 Afternoon Sister.mp3",-0.0560,0.30,-0.0487,0.50,0.9816,0.60,0.9718,0.50,-0.0592,0.50,-0.0530,0.40
"Alejo Gui/Industrial/04 Industrial.mp3",-0.0359,0.20,-0.0393,0.50,0.8889,0.40,0.8924,0.40,-0.0537,0.40,-0.0479,0.40
"Anne Clark/New Wave Club Class-X Box (Sinners Day 2011)/202 Our Darkness.mp3",-0.0177,0.30,-0.0228,0.30,0.9714,0.20,0.9314,0.40,-0.0109,0.10,-0.0218,0.00
"Anoraak/Indian Summer Mixtape/Indian Summer Mixtape.mp3",-0.0431,0.50,-0.0216,0.40,0.9739,0.50,0.9321,0.50,-0.0321,0.20,-0.0113,0.10
"Anoraak/Summer Ride Mix/Summer Ride Mix.mp3",-0.0253,0.10,-0.0162,0.40,0.9472,0.20,0.9216,0.30,-0.0316,0.30,-0.0285,0.20
"Aphex Twin/Analord 05/01 Reunion 2.mp3",-0.0360,0.30,-0.0376,0.30,0.9664,0.50,0.9685,0.50,-0.0452,0.30,-0.0462,0.20
"Aphex Twin/Analord 06/04 2 Analogue Talks.mp3",-0.0037,0.60,-0.0081,0.70,0.9705,0.90,0.9661,0.70,0.0052,0.70,0.0013,0.70
"Aphex Twin/Cheetah EP/07 2X202-ST5.mp3",0.0334,0.40,0.0214,0.50,0.9879,0.70,0.9828,0.60,0.0255,0.40,0.0130,0.30
"Aphex Twin/Hangable Auto Bulb/07 Every Day.mp3",-0.0599,0.10,-0.0387,0.30,0.9899,0.20,0.9714,0.60,-0.0673,0.20,-0.0445,0.20
"Aphex Twin/Windowlicker/02 Equation.mp3",-0.0649,0.50,-0.0387,0.70,0.9476,0.80,0.9444,0.80,-0.0514,0.50,-0.0241,0.70
"Applied Communications/uhhh sort of/03 it bothers me it bothers you i snore.mp3",-0.0669,0.10,-0.0825,0.30,0.9627,0.40,0.9347,0.50,-0.0656,0.00,-0.0807,0.00
"Architecture in Helsinki/Contact High single/Contact High.mp3",-0.0021,0.40,0.0017,0.50,0.9790,0.30,0.9439,0.70,-0.0152,0.50,-0.0104,0.30
"Audion/Hop Chip - Dj-Kicks/22 Just Fucking (Roman Fl\u00fcgel's 23 Positions In A One-Night Stand Remix).mp3",-0.0354,0.20,-0.0454,0.30,0.9793,0.20,0.9741,0.50,-0.0326,0.50,-0.0412,0.30
"AudraSonic/Unknown Album/AudraSonic 1 (bounce 4).mp3",0.0079,0.40,0.0168,0.60,0.9535,0.70,0.9456,0.40,-0.0217,0.60,-0.0043,0.50
"Autechre/Chiastic Slide/07 Recury.mp3",0.1032,0.60,0.1010,0.50,0.9875,0.70,0.9821,0.80,0.1055,0.80,0.1036,0.60
"Autechre/Incunabula/06 Eggshell.mp3",0.0536,0.40,0.0560,0.50,0.9705,0.60,0.9671,0.50,0.0479,0.50,0.0494,0.40
"Autechre/Quaristice/11 rale.mp3",0.0683,0.50,0.0759,0.50,0.9901,0.70,0.9881,0.80,0.0682,0.50,0.0754,0.50
"Autumn's Grey Solace/Divinian/02. Autumn's Grey Solace - N\u00edfara.flac",-0.0422,0.00,-0.0267,0.00,0.9876,0.60,0.9791,0.60,-0.0377,0.10,-0.0222,0.10
"Autumn's Grey Solace/Riverine/Autumn's Grey Solace - Riverine - 08 - Hollow Girl.flac",-0.0440,0.40,-0.0371,0.40,0.9962,0.70,0.9829,0.90,-0.0447,0.30,-0.0369,0.30
"BT/Ima, Disc 1/04 BT - Embracing The Future (Embracing The Sunshine Mix).mp3",0.0119,0.10,-0.0048,0.00,0.9640,0.30,0.9465,0.40,-0.0029,0.20,-0.0192,0.00
"Baths/Baths/03 Maximalist.mp3",0.0350,0.20,0.0258,0.50,0.9687,0.20,0.9521,0.30,0.0318,0.30,0.0223,0.20
"Beach House/Beach House/09 Heart and Lungs.mp3",-0.0374,0.60,-0.0348,0.60,0.9628,0.60,0.9457,0.70,-0.0407,0.50,-0.0297,0.50
"Beatles/A Hard Day's Night (UK Stereo Ebbets Blue Box)/12 You Can't Do That.mp3",-0.0006,0.40,0.0050,0.50,0.9907,0.60,0.9693,0.60,-0.0040,0.50,0.0012,0.40
"Beatles/Let It Be (UK Stereo Blue Box Ebbetts)/11 For You Blue.mp3",-0.0224,0.50,-0.0312,0.60,0.9899,0.40,0.9748,0.80,-0.0221,0.30,-0.0314,0.30
"Bee Gees/Unknown Album/Stayin Alive.mp3",0.0100,0.30,0.0012,0.30,0.9819,0.60,0.9763,0.80,0.0143,0.30,0.0051,0.30
"Belle & Sebastian/Fold Your Hands Child, You Walk Like A Peasant/07 The Chalet Lines.mp3",-0.0785,0.50,-0.0761,0.50,0.9927,0.60,0.9786,0.70,-0.0729,0.50,-0.0708,0.30
"Bird & Bee/The Bird And The Bee/01 Again & Again.mp3",0.0033,0.50,-0.0102,0.60,0.9744,0.60,0.9355,0.60,-0.0081,0.50,-0.0240,0.60
"Bizaaron/Bizaaron Mix Series Volume 5/Ride Like The Wind.mp3",-0.0243,0.10,-0.0463,0.40,0.9660,0.20,0.9056,0.30,-0.0417,0.10,-0.0620,0.30
"Bjork/Gling Glo/01 Kata Rokka.mp3",-0.0699,0.20,-0.0711,0.10,0.9783,0.50,0.9575,0.70,-0.0675,0.20,-0.0660,0.10
"Bj\u00f6rk/Hyperballad_Enjoy (Mixes)/05 - Hyper-Ballad.mp3",0.0125,0.10,0.0492,0.10,0.9514,0.00,0.9321,0.60,0.0076,0.30,0.0481,0.20
"Bj\u00f6rk/Post/10 Cover Me 1.mp3",0.0032,0.30,0.0174,0.50,0.9572,0.50,0.9335,0.40,-0.0029,0.30,0.0138,0.20
"Black Dog Productions/Bytes/07 Yamemm + (Phil (5)).mp3",-0.0107,0.40,-0.0070,0.30,0.9916,0.60,0.9854,0.70,-0.0140,0.40,-0.0102,0.20
"Black Moth Super Rainbow/Psychic Love Damage EP/02 The Wettest Day.mp3",-0.0268,0.20,-0.0238,0.20,0.9845,0.50,0.9602,0.60,-0.0317,0.30,-0.0262,0.20
"Black Moth Super Rainbow/Windshield Smasher Maxi Single 320 mp3/04 Windshield Smasher (LONGMONT POTION CASTLE Remix).mp3",-0.0517,0.10,-0.0562,0.20,0.9956,0.60,0.9588,0.50,-0.0482,0.10,-0.0498,0.20
"Blackout Allstars, The/Global Basics_ Dance Music for the Millennium/11 - I Like It (D'Ambrosio Club Mix).mp3",-0.0490,0.40,-0.0180,0.50,0.9426,0.30,0.9211,0.80,-0.0455,0.00,-0.0127,0.00
"Blonde Redhead/Unknown Album/01 My Plants Are Dead (GAMES RMX).mp3",0.0048,0.30,0.0242,0.40,0.9826,0.50,0.9706,0.80,0.0096,0.10,0.0312,0.10
"Blood Orange/Coastal Grooves/01-02. Sutphin Boulevard.flac",-0.0021,0.00,-0.0196,0.00,0.9440,0.20,0.9124,0.40,-0.0134,0.20,-0.0346,0.00
"Blood Orange/Cupid Deluxe/05 - It Is What It Is.flac",0.0547,0.40,0.0314,0.60,0.9749,0.50,0.9420,0.70,0.0519,0.50,0.0317,0.50
"Blue Daisy/Space Ex/02 Fall.mp3",0.0084,0.20,0.0118,0.40,0.9933,0.50,0.9918,0.60,0.0102,0.20,0.0137,0.20
"Boards Of Canada/Geogaddi/01 Ready Let's Go.mp3",0.0239,0.30,0.0198,0.60,0.9694,0.60,0.9591,0.70,0.0336,0.60,0.0311,0.70
"Boards Of Canada/In a Beautiful Place Out in the Country/03 In a Beautiful Place Out in the Country.mp3",-0.0067,0.10,-0.0186,0.40,0.9431,0.30,0.9235,0.40,0.0041,0.20,-0.0097,0.20
"Boards Of Canada/Old Tunes Vol. 1 (Side A)/Audiotrack 08 (Side A).mp3",-0.0142,0.30,-0.0179,0.60,0.9742,0.40,0.9723,0.60,-0.0137,0.40,-0.0183,0.30
"Bob Mould/Never Mind The Mainstream_ The Best Of MTV's 120 Minutes, Vol. 1/05 See A Little Light.mp3",0.0188,0.60,0.0220,0.70,0.9939,0.80,0.9790,0.80,0.0170,0.60,0.0199,0.60
"Bochum Welt/Scharlach Eingang/02 Phlughaven Alphard (Kinesthesia Mix).mp3",-0.0175,0.40,-0.0123,0.50,0.9867,0.40,0.9872,0.50,-0.0202,0.40,-0.0132,0.20
"Boy Robot/Rotten Cocktails/05 Bass & Booze.mp3",-0.0370,0.40,-0.0216,0.70,0.9869,0.40,0.9782,0.60,-0.0361,0.40,-0.0204,0.40
"Brainbug/Future Mix, Vol. 1/05 - Nightmare.mp3",-0.0533,0.10,-0.0478,0.30,0.9515,0.20,0.9118,0.40,-0.0569,0.30,-0.0538,0.20
"Brand New Retro/Various Artists - One on Twoism Volume 2/01 Letting Go Of Reality Complete.mp3",-0.0082,0.40,-0.0109,0.40,0.9688,0.40,0.9675,0.80,-0.0094,0.30,-0.0110,0.20
"Brian Eno/Ambient 1 - Music for Airports/02 2 1.mp3",-0.0068,0.30,-0.0068,0.50,0.9821,0.70,0.9836,0.70,-0.0056,0.40,-0.0054,0.50
