file,kind,fpcalc_eq_coreaudio,fpcalc_eq_sndfile,coreaudio_eq_sndfile,bits_fpcalc_coreaudio,bits_fpcalc_sndfile
01 - ITSAME [group hugg].flac,48000/PCM_24,False,False,False,17,15
02 - Fwd_ Re_ late (Ref._ karoshi).flac,48000/PCM_24,False,False,False,4,2
03 - morning narcomnastics.flac,48000/PCM_24,False,False,True,1,1
04 - PROVE UR NOT A ROBOT [SKIP].flac,48000/PCM_24,False,False,True,5,5
05 - (g)Raveyard tools.flac,48000/PCM_24,True,True,True,0,0
06 - re_ laps (roll with iD).flac,48000/PCM_24,True,True,True,0,0
07 - Reptikon 7.flac,48000/PCM_24,False,False,False,3,1
08 - a star is bored.flac,48000/PCM_24,False,True,False,2,0
09 - PROVE UR NOT A ROWBOAT [SKIPPER].flac,48000/PCM_24,False,False,False,3,3
10 - evening narcomnastics [DON’T_POST!].flac,48000/PCM_24,False,False,True,1,1
11 - F1 Halo.flac,48000/PCM_24,False,False,False,2,2
12 - consent.flac,48000/PCM_24,True,True,True,0,0
13 - tracing Rays [reality glo].flac,48000/PCM_24,False,False,True,1,1
14 - ad interim.flac,48000/PCM_24,False,False,True,1,1
15 - medal headz [G.B.D.F].flac,48000/PCM_24,True,True,True,0,0
16 - brothers [drop mic].flac,48000/PCM_24,True,True,True,0,0
17 - No fair (42T).flac,48000/PCM_24,True,True,True,0,0
01 - If You Really Love Nothing.flac,44100/PCM_16,True,True,True,0,0
02 - The Rover.flac,44100/PCM_16,False,False,True,1,1
03 - Complications.flac,44100/PCM_16,True,True,True,0,0
04 - Flight of Fancy.flac,44100/PCM_16,True,True,True,0,0
05 - Stay In Touch.flac,44100/PCM_16,True,True,True,0,0
06 - Interlude 1.flac,44100/PCM_16,False,False,True,4,4
07 - Mountain Child.flac,44100/PCM_16,True,True,True,0,0
08 - NYSMAW.flac,44100/PCM_16,False,False,True,1,1
09 - Surveillance.flac,44100/PCM_16,False,False,True,2,2
10 - Number 10.flac,44100/PCM_16,False,False,True,1,1
11 - Party's Over.flac,44100/PCM_16,False,False,True,1,1
12 - Interlude 2.flac,44100/PCM_16,False,False,True,2,2
13 - It Probably Matters.flac,44100/PCM_16,True,True,True,0,0
01 - E.flac,44100/PCM_16,True,True,True,0,0
02 - Hare Tarot Lies.flac,44100/PCM_16,False,False,True,1,1
03 - Prodigy.flac,44100/PCM_16,False,False,True,1,1
04 - Slug Night.flac,44100/PCM_16,True,True,True,0,0
05 - Blue Neck Riviera.flac,44100/PCM_16,True,True,True,0,0
06 - Lizard Kids.flac,44100/PCM_16,False,False,True,2,2
07 - Lunar Phobia.flac,44100/PCM_16,False,False,True,1,1
08 - Wrack Attack.flac,44100/PCM_16,False,False,True,1,1
09 - Ignored Pets.flac,44100/PCM_16,False,False,True,1,1
10 - Pleasure.flac,44100/PCM_16,False,False,True,1,1
11 - Uhy Yuoi Yoi.flac,44100/PCM_16,True,True,True,0,0
01 - Allele.flac,48000/PCM_24,True,True,True,0,0
02 - Cloud-pine.flac,48000/PCM_24,True,True,True,0,0
03 - Tight Dirt II.flac,48000/PCM_24,True,True,True,0,0
04 - Magical Electronic Crickets.flac,48000/PCM_24,False,False,True,1,1
05 - Yambe-Akka III.flac,48000/PCM_24,False,False,False,1,2
06 - Eschaton.flac,48000/PCM_24,True,True,True,0,0
01 - Intrus.flac,44100/PCM_24,False,False,True,1,1
02 - Sun.flac,44100/PCM_24,False,False,True,1,1
03 - Europa (feat. Ania Iwanek).flac,44100/PCM_24,True,True,True,0,0
04 - Ziemia.flac,44100/PCM_24,True,True,True,0,0
05 - Phil K..flac,44100/PCM_24,False,False,True,1,1
06 - Planet Brasil.flac,44100/PCM_24,True,False,False,0,1
07 - Jupiter.flac,44100/PCM_24,False,False,False,1,1
08 - Neptus.flac,44100/PCM_24,True,True,True,0,0
09 - Fiasko.flac,44100/PCM_24,False,False,True,4,4
