file,kind,v160_eq_v161,v151_eq_v161,bits_151_161
01 - ITSAME [group hugg].flac,48000/PCM_24,True,True,0
02 - Fwd_ Re_ late (Ref._ karoshi).flac,48000/PCM_24,True,True,0
03 - morning narcomnastics.flac,48000/PCM_24,True,True,0
04 - PROVE UR NOT A ROBOT [SKIP].flac,48000/PCM_24,True,True,0
05 - (g)Raveyard tools.flac,48000/PCM_24,True,True,0
06 - re_ laps (roll with iD).flac,48000/PCM_24,True,True,0
07 - Reptikon 7.flac,48000/PCM_24,True,True,0
08 - a star is bored.flac,48000/PCM_24,True,True,0
09 - PROVE UR NOT A ROWBOAT [SKIPPER].flac,48000/PCM_24,True,True,0
10 - evening narcomnastics [DON’T_POST!].flac,48000/PCM_24,True,True,0
11 - F1 Halo.flac,48000/PCM_24,True,True,0
12 - consent.flac,48000/PCM_24,True,True,0
13 - tracing Rays [reality glo].flac,48000/PCM_24,True,True,0
14 - ad interim.flac,48000/PCM_24,True,True,0
15 - medal headz [G.B.D.F].flac,48000/PCM_24,True,True,0
16 - brothers [drop mic].flac,48000/PCM_24,True,True,0
17 - No fair (42T).flac,48000/PCM_24,True,True,0
01 - If You Really Love Nothing.flac,44100/PCM_16,True,True,0
02 - The Rover.flac,44100/PCM_16,True,False,1
03 - Complications.flac,44100/PCM_16,True,False,1
04 - Flight of Fancy.flac,44100/PCM_16,True,True,0
05 - Stay In Touch.flac,44100/PCM_16,True,True,0
06 - Interlude 1.flac,44100/PCM_16,True,False,3
07 - Mountain Child.flac,44100/PCM_16,True,False,1
08 - NYSMAW.flac,44100/PCM_16,True,False,1
09 - Surveillance.flac,44100/PCM_16,True,False,2
10 - Number 10.flac,44100/PCM_16,True,False,2
11 - Party's Over.flac,44100/PCM_16,True,False,1
12 - Interlude 2.flac,44100/PCM_16,True,False,1
13 - It Probably Matters.flac,44100/PCM_16,True,True,0
01 - E.flac,44100/PCM_16,True,False,1
02 - Hare Tarot Lies.flac,44100/PCM_16,True,False,1
03 - Prodigy.flac,44100/PCM_16,True,False,1
04 - Slug Night.flac,44100/PCM_16,True,False,1
05 - Blue Neck Riviera.flac,44100/PCM_16,True,True,0
06 - Lizard Kids.flac,44100/PCM_16,True,False,7
07 - Lunar Phobia.flac,44100/PCM_16,True,False,1
08 - Wrack Attack.flac,44100/PCM_16,True,False,3
09 - Ignored Pets.flac,44100/PCM_16,True,False,6
10 - Pleasure.flac,44100/PCM_16,True,False,1
11 - Uhy Yuoi Yoi.flac,44100/PCM_16,True,False,2
01 - Allele.flac,48000/PCM_24,True,True,0
02 - Cloud-pine.flac,48000/PCM_24,True,True,0
03 - Tight Dirt II.flac,48000/PCM_24,True,True,0
04 - Magical Electronic Crickets.flac,48000/PCM_24,True,True,0
05 - Yambe-Akka III.flac,48000/PCM_24,True,True,0
06 - Eschaton.flac,48000/PCM_24,True,True,0
01 - Intrus.flac,44100/PCM_24,True,True,0
02 - Sun.flac,44100/PCM_24,True,True,0
03 - Europa (feat. Ania Iwanek).flac,44100/PCM_24,True,True,0
04 - Ziemia.flac,44100/PCM_24,True,True,0
05 - Phil K..flac,44100/PCM_24,True,True,0
06 - Planet Brasil.flac,44100/PCM_24,True,True,0
07 - Jupiter.flac,44100/PCM_24,True,True,0
08 - Neptus.flac,44100/PCM_24,True,True,0
09 - Fiasko.flac,44100/PCM_24,True,True,0
