pipeline,track,variant,cos_own,cos_nearest_other,nearest_other,rank1_self
A ref/whole,01 - Allele.flac,shift0.5,0.99972,0.94762,03 - Tight Dirt II.flac,1
A ref/whole,01 - E.flac,shift0.5,0.99958,0.94599,09 - Ignored Pets.flac,1
A ref/whole,01 - ITSAME [group hugg].flac,shift0.5,0.99956,0.91805,16 - brothers [drop mic].flac,1
A ref/whole,01 - If You Really Love Nothing.flac,shift0.5,0.99978,0.97463,05 - Stay In Touch.flac,1
A ref/whole,01 - Intrus.flac,shift0.5,0.99922,0.80377,08 - Neptus.flac,1
A ref/whole,02 - Cloud-pine.flac,shift0.5,0.99954,0.8853,03 - Tight Dirt II.flac,1
A ref/whole,02 - Fwd_ Re_ late (Ref._ karoshi).flac,shift0.5,0.99927,0.89859,12 - consent.flac,1
A ref/whole,02 - Hare Tarot Lies.flac,shift0.5,0.99946,0.96951,11 - Uhy Yuoi Yoi.flac,1
A ref/whole,02 - Sun.flac,shift0.5,0.9987,0.9069,07 - Jupiter.flac,1
A ref/whole,02 - The Rover.flac,shift0.5,0.99949,0.98426,04 - Flight of Fancy.flac,1
A ref/whole,03 - Complications.flac,shift0.5,0.99956,0.98193,07 - Mountain Child.flac,1
A ref/whole,03 - Europa (feat. Ania Iwanek).flac,shift0.5,0.99898,0.87672,02 - Sun.flac,1
A ref/whole,03 - Prodigy.flac,shift0.5,0.99889,0.96961,08 - Wrack Attack.flac,1
A ref/whole,03 - Tight Dirt II.flac,shift0.5,0.99968,0.94508,01 - Allele.flac,1
A ref/whole,03 - morning narcomnastics.flac,shift0.5,0.99912,0.93742,16 - brothers [drop mic].flac,1
A ref/whole,04 - Flight of Fancy.flac,shift0.5,0.99959,0.98127,02 - The Rover.flac,1
A ref/whole,04 - Magical Electronic Crickets.flac,shift0.5,0.99954,0.93755,03 - Tight Dirt II.flac,1
A ref/whole,04 - PROVE UR NOT A ROBOT [SKIP].flac,shift0.5,0.99516,0.81914,01 - ITSAME [group hugg].flac,1
A ref/whole,04 - Slug Night.flac,shift0.5,0.99978,0.9617,06 - Lizard Kids.flac,1
A ref/whole,04 - Ziemia.flac,shift0.5,0.99975,0.90318,06 - re_ laps (roll with iD).flac,1
A ref/whole,05 - (g)Raveyard tools.flac,shift0.5,0.99921,0.96041,08 - a star is bored.flac,1
A ref/whole,05 - Blue Neck Riviera.flac,shift0.5,0.99939,0.95737,07 - Lunar Phobia.flac,1
A ref/whole,05 - Phil K..flac,shift0.5,0.99816,0.82859,02 - Sun.flac,1
A ref/whole,05 - Stay In Touch.flac,shift0.5,0.99962,0.97764,09 - Surveillance.flac,1
A ref/whole,05 - Yambe-Akka III.flac,shift0.5,0.99952,0.92158,06 - Eschaton.flac,1
A ref/whole,06 - Eschaton.flac,shift0.5,0.99941,0.92449,05 - Yambe-Akka III.flac,1
A ref/whole,06 - Interlude 1.flac,shift0.5,0.99905,0.84526,12 - Interlude 2.flac,1
A ref/whole,06 - Lizard Kids.flac,shift0.5,0.99849,0.97907,09 - Ignored Pets.flac,1
A ref/whole,06 - Planet Brasil.flac,shift0.5,0.99972,0.8953,02 - Sun.flac,1
A ref/whole,06 - re_ laps (roll with iD).flac,shift0.5,0.99758,0.89478,02 - Sun.flac,1
A ref/whole,07 - Jupiter.flac,shift0.5,0.99851,0.91147,02 - Sun.flac,1
A ref/whole,07 - Lunar Phobia.flac,shift0.5,0.99919,0.95847,05 - Blue Neck Riviera.flac,1
A ref/whole,07 - Mountain Child.flac,shift0.5,0.99935,0.98131,03 - Complications.flac,1
A ref/whole,07 - Reptikon 7.flac,shift0.5,0.99919,0.91314,17 - No fair (42T).flac,1
A ref/whole,08 - NYSMAW.flac,shift0.5,0.99947,0.97895,09 - Surveillance.flac,1
A ref/whole,08 - Neptus.flac,shift0.5,0.99961,0.8509,02 - Sun.flac,1
A ref/whole,08 - Wrack Attack.flac,shift0.5,0.99655,0.96821,03 - Prodigy.flac,1
A ref/whole,08 - a star is bored.flac,shift0.5,0.99903,0.96005,05 - (g)Raveyard tools.flac,1
A ref/whole,09 - Fiasko.flac,shift0.5,0.99737,0.68356,15 - medal headz [G.B.D.F].flac,1
A ref/whole,09 - Ignored Pets.flac,shift0.5,0.99924,0.98237,06 - Lizard Kids.flac,1
A ref/whole,09 - PROVE UR NOT A ROWBOAT [SKIPPER].flac,shift0.5,0.9983,0.6983,04 - PROVE UR NOT A ROBOT [SKIP].flac,1
A ref/whole,09 - Surveillance.flac,shift0.5,0.99959,0.98066,08 - NYSMAW.flac,1
